Attribute1,Attribute2,Attribute3,Intrusion
2.157322351,1.92294697,3.2237354,0
1.711649707,5.534262075,1.519069018,0
-1.062710109,0.913823815,0.71504588,0
-0.100343794,6.153463041,2.250014368,0
0.145073208,6.553024563,2.214019487,0
3.891701857,3.683358856,0.934085304,0
3.467181418,2.178882104,-2.148036676,0
-0.47765996,4.475954259,2.254796276,0
0.583635225,2.044369601,1.607760108,0
1.06224898,3.117055159,4.322528723,0
-0.100142509,5.545807423,-0.432060867,0
-1.178968689,3.685570676,1.796233538,0
0.194503058,5.366913868,4.774947293,0
0.565889086,1.558421217,3.746075511,0
1.981124347,6.268778592,2.322158551,0
0.703959129,3.001861501,0.195477337,0
0.067657444,3.865606311,2.619959973,0
0.99787629,4.437247112,1.705687738,0
2.319638584,4.824380285,2.538811698,0
0.0804304,2.710277595,2.012621031,0
3.85120417,2.431587569,2.246697852,0
1.424623729,3.844742901,4.435207652,0
-0.225628217,6.017654222,3.243681988,0
0.478770987,4.055817782,4.236460846,0
-1.200942403,3.75031422,1.145031434,0
-0.794426846,4.008165518,1.028555027,0
1.527951365,4.103315378,3.690737708,0
1.19079509,4.299951685,2.846788237,0
1.888258843,3.044338657,0.002899878,0
1.185295107,4.136577997,3.572439761,0
1.100920154,3.72520918,-0.248710994,0
-0.248297626,4.523647211,0.119410624,0
2.097746784,5.531214277,2.115492872,0
0.408783605,2.814599594,1.52319135,0
2.553191758,4.455783016,2.509444044,0
4.745829579,4.450909296,0.782306039,0
1.196358597,3.981222479,3.073133769,0
1.767104714,5.63956053,5.186210358,0
1.119661896,4.591034628,1.688513022,0
0.706662469,6.169424266,4.624121903,0
-0.016871032,5.274571919,2.195765328,0
-1.553987351,2.605338084,1.381469364,0
2.876966489,4.579417571,0.905803044,0
1.346149159,4.681847235,6.416720558,0
0.94114888,3.181483799,2.278460423,0
1.864578601,2.853390695,-0.542329498,0
0.561058762,3.196349038,2.772520556,0
1.038786351,5.464063428,2.25174008,0
-1.004546133,6.851721461,0.613694063,0
2.335746031,5.397717,-0.111527484,0
0.956286854,4.084340132,2.139075437,0
-1.966883792,4.422657952,0.699680871,0
2.128437122,4.456239528,3.269430674,0
0.648364074,3.214773734,3.3669971,0
0.237627932,4.145598635,3.04332733,0
1.147044989,2.692531761,-0.256531522,0
1.475033557,6.294477985,4.198995307,0
0.436277175,4.825610381,3.307609938,0
-0.666568255,4.657218614,2.643221175,0
0.803827429,5.047563331,0.074479501,0
-2.305143063,-0.136127865,5.017174725,1
1.335644218,3.749085578,3.514071205,0
0.61505604,5.217131982,1.558866263,0
0.524131521,1.25385667,2.239832327,0
1.657982565,4.451851352,1.367809353,0
0.859858131,4.977540815,1.85831466,0
0.352643248,1.6007225,2.857565104,0
2.484900163,2.72100112,1.238020132,0
0.35687413,3.911972882,-1.006182091,0
1.063976755,3.530909464,1.489214148,0
2.106943058,7.988285611,2.017414943,0
-0.400477154,4.818871843,1.938062756,0
0.708584856,4.887290538,1.546086039,0
2.243866161,2.761779057,3.518548218,0
2.814550784,2.765894617,2.492285662,0
1.968727453,6.876854799,1.132270582,0
1.318236837,2.408843574,0.439314363,0
-0.77315904,6.303080314,-0.183969953,0
1.082541473,7.957380085,3.512789318,0
2.064903095,8.297877398,1.917550976,0
-0.48971421,5.957266561,2.796042278,0
2.636453441,1.729920887,2.299332402,0
0.611623551,5.755360922,2.47352878,0
1.917568712,4.058869162,2.5317496,0
3.66961124,3.780859204,1.4763475,0
0.701729081,3.077465876,1.435200528,0
-0.676549661,3.886898496,1.207601183,0
0.030458452,3.33665805,3.493484523,0
0.375369776,3.9866518,3.81516784,0
0.26350742,6.213217951,-0.488929379,0
-0.614498576,5.892147945,3.493108469,0
1.260113285,1.93771298,3.200615374,0
1.011398934,5.825500731,0.623220698,0
1.5386005,2.982153172,1.963820513,0
-0.719825643,3.984836229,3.426547494,0
1.066112103,3.98500276,0.912095754,0
3.20086004,3.559402412,3.604615156,0
